country,flight_count_arriving,A_avg_co2_per_flight,A_min_co2,A_max_co2,flight_count_leaving,L_avg_co2_per_flight,L_min_co2,L_max_co2,T_avg_co2_per_flight
Algeria,6844,795842.3437,148000,7783000,15693,944409.0359,112000,8005000,1740251.38
Argentina,12346,1516143.204,129000,8722000,21334,1575936.252,129000,10434000,3092079.456
Australia,33166,1716232.919,91000,11315000,91059,1704521.651,91000,13637000,3420754.57
Austria,16143,838259.5552,59000,9638000,48168,774845.7897,59000,9870000,1613105.345
Belgium,16456,840063.4419,46000,9654000,48679,765441.484,43000,9829000,1605504.926
Brazil,33327,1267011.612,63000,13637000,75672,1551831.549,63000,11620000,2818843.162
Canada,19148,1206115.417,381000,13028000,54960,945948.9447,69000,10204000,2152064.361
Chile,11520,1528103.733,129000,8938000,36958,1548127.009,129000,14044000,3076230.742
China,25371,592675.2197,78000,9666000,124593,1354613.164,78000,9954000,1947288.384
Columbia,14203,1388569.035,333000,10575000,43003,1292211.218,96000,10813000,2680780.253
Denmark,16430,843718.4419,76000,10107000,53564,763946.774,60000,8812000,1607665.216
Dublin,16155,869275.4565,92000,10008000,48470,791920.4663,46000,9618000,1661195.923
Egypt,13757,959443.3379,112000,9212000,42147,932380.1457,112000,7632000,1891823.484
Ethiopia,6232,1045029.365,250000,8230000,19558,1125584.876,124000,7238000,2170614.24
France,17217,837022.4197,50000,10022000,52100,777012.7639,50000,9414000,1614035.184
Germany,36228,860685.9887,45000,9711000,108445,769218.1936,44000,8989000,1629904.182
Greece,14610,844693.4292,112000,9448000,47953,827624.4865,69000,9474000,1672317.916
India,49091,1043072.865,107000,13234000,61642,1150551.686,107000,10869000,2193624.55
Indonesia,10385,1323251.902,361000,10831000,,,,,1323251.902
Italy,19163,788655.7428,61000,9620000,,,,,788655.7428
Japan,24021,1538345.24,175000,14044000,,,,,1538345.24
Kenya,10747,1104040.197,124000,8753000,,,,,1104040.197
Malaysia,11830,1236082.671,277000,9477000,,,,,1236082.671
Mexico,17582,1345336.253,251000,12437000,,,,,1345336.253
Morocco,6742,929905.5177,191000,9003000,,,,,929905.5177
Netherlands,16262,765746.2797,43000,9746000,,,,,765746.2797
Norway,14723,801861.9846,60000,9969000,,,,,801861.9846
Panama,11713,1312121.574,96000,11865000,,,,,1312121.574
Peru,12833,1328477.129,157000,10535000,,,,,1328477.129
Philippines,11614,1623359.738,167000,12031000,,,,,1623359.738
Portugal,16551,837138.5415,152000,10131000,,,,,837138.5415
Qatar,11671,1049405.878,172000,7520000,,,,,1049405.878
Rome,17853,735860.5837,80000,9767000,,,,,735860.5837
Russia,7067,1188778.407,259000,8825000,,,,,1188778.407
Singapore,14733,1230729.722,254000,9987000,,,,,1230729.722
South Africa,19963,1386112.558,332000,10936000,,,,,1386112.558
South Korea,12636,1359498.259,109000,10600000,,,,,1359498.259
Spain,16649,854614.8718,103000,10087000,,,,,854614.8718
Sweden,15597,830000.7694,62000,9914000,,,,,830000.7694
Taiwan,7846,1320712.337,88000,11294000,,,,,1320712.337
Thailand,15444,1168831.456,164000,10342000,,,,,1168831.456
Turkey,15329,854029.5518,69000,8491000,,,,,854029.5518
United Arab Emirates,12433,936409.7965,199000,8922000,,,,,936409.7965
United Kingdom,50689,881694.9239,46000,10002000,,,,,881694.9239
United States,207065,1264528.365,69000,13222000,,,,,1264528.365
Vietnam,9204,1357478.379,163000,10615000,,,,,1357478.379
Zurich,17409,789425.527,44000,9867000,,,,,789425.527